# Message Type: pain.001.001.09
# Message Name: CustomerCreditTransferInitiation
# Business Area: Payment Initiation
# Total Fields: 87
# Mandatory Fields: 23
# Optional Fields: 64
# Extraction Date: 2025-12-16
#
FieldName,Path,Multiplicity,Constraints,Definition
IntermediaryAgent3,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/IntrmyAgt3,0..1,"Type: BranchAndFinancialInstitutionIdentification6","Agent between the debtor's agent and the creditor's agent."
IntermediaryAgent3Account,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/IntrmyAgt3Acct,0..1,"Type: CashAccount38","Unambiguous identification of the account of the intermediary agent 3 at its servicing agent in the payment chain."
CreditorAgent,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/CdtrAgt,0..1,"Type: BranchAndFinancialInstitutionIdentification6","Financial institution servicing an account for the creditor."
CreditorAgentAccount,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/CdtrAgtAcct,0..1,"Type: CashAccount38","Unambiguous identification of the account of the creditor agent at its servicing agent to which a credit entry will be made as a result of the payment transaction."
Creditor,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/Cdtr,1..1,"Type: PartyIdentification135","Party to which an amount of money is due."
CreditorAccount,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/CdtrAcct,1..1,"Type: CashAccount38","Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction."
UltimateCreditor,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/UltmtCdtr,0..1,"Type: PartyIdentification135","Ultimate party to which an amount of money is due. Only to be used if different from the creditor."
InstructionForCreditorAgent,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/InstrForCdtrAgt,0..1,"Type: InstructionForCreditorAgent3","Further information related to the processing of the payment instruction, provided by the initiating party, and intended for the creditor agent."
InstructionForDebtorAgent,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/InstrForDbtrAgt,0..1,"MaxLength: 140","Further information related to the processing of the payment instruction that may need to be acted upon by the debtor agent, depending on agreement between debtor and the debtor agent."
Purpose,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/Purp,0..1,"Type: Purpose2Choice","Underlying reason for the payment transaction. Usage: Purpose is used by the end-customers, that is initiating party, (ultimate) debtor, (ultimate) creditor to provide information concerning the nature of the payment."
RegulatoryReporting,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/RgltryRptg,0..1,"Type: RegulatoryReporting3","Information needed due to regulatory and statutory requirements."
Tax,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/Tax,0..1,"Type: TaxInformation8","Provides details on the tax."
RelatedRemittanceInformation,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/RltdRmtInf,0..1,"Type: RemittanceLocation7","Provides information on the remittance advice."
RemittanceInformation,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/RmtInf,0..1,"Type: RemittanceInformation16","Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system."
SupplementaryData,Document/CstmrCdtTrfInitn/SplmtryData,0..1,"Type: SupplementaryData1","Additional information that cannot be captured in the structured fields and/or any other specific block."
